"RET-YUBAHARV-322","Retail Item - Food","R-Grocery","0.00","0",
"RET-YUBAHARV-323","Retail Item - Non-food","R-Grocery","0.00","0.075",
"RET-SARAHS**-100","Produce","R-Produce","0.00","0",
"WIN-YUBAHARV-318","A","R-Wine Bottles","0.00","0.075",
"WIN-BANGORRA-106","Bangor Ranch - Barbera - 2012","R-Wine Bottles","20.00","0.075",
"WIN-BANGORRA-107","Bangor Ranch - Rosato - 2013","R-Wine Bottles","15.00","0.075",
"WIN-BANGORRA-105","Bangor Ranch - Sangiovese - 2012","R-Wine Bottles","22.00","0.075",
"WIN-CANTEAOV-107","Cante - Garnacha Rose - 2013","R-Wine Bottles","19.00","0.075",
"WIN-CANTEAOV-110","Cante - La Rouge Fonce 2011","R-Wine Bottles","25.00","0.075",
"WIN-CANTEAOV-111","Cante - Sangiovese 2011","R-Wine Bottles","20.00","0.075",
"WIN-CANTEAOV-112","Cante - Semillon 2012","R-Wine Bottles","20.00","0.075",
"WIN-CANTEAOV-109","Cante - Summer's Last Kiss","R-Wine Bottles","21.00","0.075",
"WIN-CANTEAOV-108","Cante - Tempranillo 2011","R-Wine Bottles","20.00","0.075",
"WIN-CANTEAOV-106","Cante - Vigne Del Sole 2010","R-Wine Bottles","26.00","0.075",
"WIN-CAPAYVAL-100","Capay Valley Sparkling Viognier","R-Wine Bottles","16.00","0.075",
"WIN-CORDIWIN-103","Cordi - Barbera - 2009","R-Wine Bottles","26.00","0.075",
"WIN-CORDIWIN-105","Cordi - Estate Primitivo - 2011","R-Wine Bottles","26.00","0.075",
"WIN-GRANTED*-115","Grant Eddie - Grenache-Syrah","R-Wine Bottles","28.00","0",
"WIN-GRANTED*-107","Grant-Eddie - Cabernet","R-Wine Bottles","28.00","0.075",
"WIN-GRANTED*-114","Grant-Eddie - Chardonnay - 2013","R-Wine Bottles","23.00","0.075",
"WIN-GRANTED*-106","Grant-Eddie - Port - 2011","R-Wine Bottles","32.00","0.075",
"WIN-GRANTED*-108","Grant-Eddie - Raydar Red - 2011","R-Wine Bottles","22.00","0.075",
"WIN-GRANTED*-113","Grant-Eddie - San Giovese","R-Wine Bottles","25.00","0.075",
"WIN-GRANTED*-111","Grant-Eddie - Semillon - 2012","R-Wine Bottles","20.00","0.075",
"WIN-GRANTED*-109","Grant-Eddie - Syrah - 2009","R-Wine Bottles","25.00","0.075",
"WIN-GRANTED*-110","Grant-Eddie - White Pearl","R-Wine Bottles","27.00","0.075",
"WIN-GRANTED*-112","Grant-Eddie - Zinfandel","R-Wine Bottles","25.00","0.075",
"WIN-HICKMANF-101","Hickman - Chardonnay - 2012","R-Wine Bottles","19.00","0.075",
"WIN-HICKMANF-100","Hickman - Petite Syrah","R-Wine Bottles","21.00","0.075",
